,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Arian Foster*+\FostAr00,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,,18,,,330,396.0,402.0,363.0,192,1,1
2,Peyton Hillis\HillPe00,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,,13,,,244,304.9,310.9,274.4,106,2,2
3,Adrian Peterson*\PeteAd01,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,,13,,,242,277.9,283.9,259.9,104,3,3
4,Jamaal Charles*+\CharJa00,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,3,,8,,,242,286.5,292.5,264.0,103,4,4
5,Chris Johnson*\JohnCh04,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,,12,,,233,276.9,282.9,254.9,95,5,5
6,Brandon Lloyd*\LloyBr00,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,,11,,,209,286.0,289.0,247.5,92,1,6
7,Dwayne Bowe*\BoweDw00,KAN,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,1,,15,,,207,278.6,281.6,242.6,89,2,7
8,Darren McFadden\McFaDa00,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,,10,,,226,273.4,279.4,249.9,88,6,8
9,Roddy White*+\WhitRo00,ATL,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,1,,10,2,,203,318.2,321.2,260.7,86,3,9
10,Michael Vick*\VickMi00,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,11,,9,,1,316,316.3,328.3,322.3,85,1,10
11,Rashard Mendenhall\MendRa00,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,,13,,,222,245.0,251.0,233.5,84,7,11
12,LeSean McCoy\McCoLe01,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,,9,,,221,299.2,305.2,260.2,83,8,12
13,Greg Jennings*\JennGr00,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,2,,12,,,198,274.4,277.4,236.4,81,4,13
14,Matt Forte\FortMa00,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,,9,1,,218,268.6,274.6,243.1,80,10,14
15,Michael Turner*\TurnMi00,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,2,,12,,,218,229.6,232.6,223.6,80,9,15
16,Ray Rice\RiceRa00,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,,6,,,214,276.6,282.6,245.1,76,11,16
17,Aaron Rodgers\RodgAa00,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,4,,4,,,306,306.5,323.5,317.5,75,2,17
18,Mike Wallace\WallMi00,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,1,,10,,,190,249.6,252.6,219.6,72,5,18
19,Calvin Johnson*\JohnCa00,DET,WR,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,,12,1,,189,266.2,269.2,227.7,72,6,19
20,Tom Brady*+\BradTo00,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,3,,1,,,301,301.0,308.0,305.0,70,3,20
21,Ahmad Bradshaw\BradAh00,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,7,,8,1,,205,251.9,257.9,228.4,67,12,21
22,Maurice Jones-Drew*\DrewMa00,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,2,,7,,,204,238.1,245.1,222.1,66,13,22
23,Steven Jackson*\JackSt00,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,1,,6,,,198,244.4,250.4,221.4,60,14,23
24,Jason Witten*+\WittJa00,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,1,,9,1,,156,250.2,253.2,203.2,60,1,24
25,Philip Rivers*\RivePh00,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,7,,0,,1,290,289.6,305.6,302.6,58,4,25
26,Peyton Manning*\MannPe00,IND,QB,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,3,,0,,,288,287.8,307.8,304.8,57,5,26
27,Reggie Wayne*+\WaynRe00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,1,,6,,,172,282.5,285.5,227.0,54,7,27
28,Hakeem Nicks\NickHa01,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,1,,11,,,171,250.2,253.2,210.7,54,8,28
29,Andre Johnson*\JohnAn02,HOU,WR,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,1,,8,,,171,256.6,259.6,213.6,53,9,29
